"Variable","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"Handwritten_Text_Recognition","-0.122","0.09","0.177","0.08","0","0.064","0.003","0.47","0.032","0.126","0.069","0.22","0.166","-0.026","0.05"
"Handwritten_Mathematical_Expression_Recognition","-0.306","0.119","-0.029","0.181","0.136","0.086","-0.014","0.236","0.185","0.055","0.272","0.046","0.201","-0.159","0.086"
"Scene_Text_Recognition","-0.03","0.1","-0.106","0.051","0.178","0.027","0.508","0.145","-0.029","0.186","-0.373","0.007","-0.047","-0.193","-0.09"
"Jigsaw_Puzzle_Solving","-0.14","-0.15","0.406","-0.004","0.083","0.136","0.033","0.217","0.051","0.003","-0.104","0.079","0.027","-0.029","-0.68"
"Image_Colorization","0.36","0.037","-0.019","0.145","0.061","0.36","0.006","0.116","0.093","0.093","-0.038","-0.017","0.232","0.314","0.113"
"Next_Image_Prediction","-0.238","0.146","-0.021","0.197","0.08","-0.202","0.036","0.089","-0.078","0.329","-0.149","-0.268","-0.193","0.007","-0.27"
"MeViS","-0.637","-0.013","0.19","0.023","-0.039","-0.152","0.114","0.176","0.149","0.126","0.066","0.003","-0.193","0.215","-0.055"
"Temporal_Anticipation","0.66","0.143","-0.157","-0.01","-0.037","0.024","-0.08","0.027","0.143","-0.069","0.155","-0.051","0.081","0.229","0.089"
"Temporal_Ordering","-0.404","0.014","0.276","0.059","-0.089","0.043","0.099","0.297","-0.061","-0.034","-0.028","0.01","-0.008","0.03","-0.377"
"Temporal_Localization","-0.31","-0.026","0.219","0.082","0.289","0.138","0.159","0.107","0.062","0.212","0.223","-0.041","-0.128","-0.06","-0.012"
"Social_Relation_Recognition","-0.386","0.065","0.055","-0.072","0.079","0.019","-0.071","0.235","0.347","0.261","0.288","-0.04","-0.157","-0.13","-0.025"
"Human_Object_Interaction_Recognition","0.631","0.162","-0.131","0.04","-0.114","-0.032","0.1","-0.034","-0.026","-0.083","-0.231","0.033","0.117","0.146","0.164"
"Scene_Graph_Recognition","-0.496","-0.089","0.173","-0.173","0.123","0.37","-0.025","0.105","0.231","-0.137","0.265","0.101","-0.109","-0.117","0.014"
"Human_Interaction_Understanding","0.813","0.031","-0.035","0.069","0.011","0.075","0.071","-0.043","0.021","-0.041","-0.006","-0.045","0.118","-0.078","0.031"
"Science","-0.403","0.153","0.299","0.101","0.156","0.233","0.02","0.043","-0.067","0.09","0.219","0.075","0.1","-0.003","0.078"
"Health_Medicine","-0.348","0.083","0.251","0.11","0.117","0.383","0.094","0.033","0.012","0.152","0.122","0.064","-0.008","-0.052","0.154"
"Art_and_Design","-0.005","0.207","0.279","0.189","0.12","0.233","0.149","0.208","0.099","0.065","0.107","-0.024","-0.063","-0.066","0.115"
"Humanitites_Social_Science","0.643","-0.053","0.068","0.212","0.166","0.183","0.067","0.026","0.048","0.039","0.018","0.092","0.135","0.158","0.076"
"Tech_Engineering","-0.178","0.155","0.537","0","-0.077","0.187","0.143","0.089","-0.076","-0.05","0.217","0.111","-0.053","0.066","-0.245"
"Business","0.624","-0.017","0.001","0.085","-0.065","0.31","-0.044","-0.019","0.084","-0.059","0.04","0.071","0.119","0.234","-0.049"
"Ravens_Progressive_Matrices","-0.552","0.021","0.337","0.022","0.003","0","0.119","0.104","0.006","0.117","0.073","-0.031","-0.133","-0.193","-0.082"
"Navigation","-0.16","0.001","0.048","0.105","0.129","0.161","0.055","0.479","0.137","0.155","0.066","0.109","-0.026","0.27","0.02"
"Facail_Expression_Change_Recognition","0.337","0.142","-0.04","0.169","0.16","0.272","0.215","0.125","-0.162","0.076","-0.144","0.201","0.068","-0.072","0.202"
"Scene_Emotion_Recognition","0.695","0.06","-0.065","0.054","0.004","-0.004","-0.051","-0.112","-0.033","-0.207","0.012","0.028","0.148","0.073","0.002"
"Micro.Expression_Recognition","-0.5","0.087","0.057","0.185","0.01","0.032","0.398","-0.242","-0.093","0.11","0.193","-0.024","0.207","-0.082","0.054"
"Artwork_Emotion_Recognition","0.093","0.185","0.021","-0.039","-0.028","-0.012","0.157","-0.101","0.134","0.363","0.223","0.131","0.174","0.328","-0.284"
"Body_Emotion_Recognition","-0.533","0.059","-0.024","-0.014","0.264","0.072","0.142","0.044","0.006","0.25","0.172","0.154","-0.088","-0.016","-0.046"
"Facial_Expression_Recognition","0.645","0.035","-0.271","0.015","0.311","0.085","-0.015","-0.04","0.033","0.027","0.139","0.206","-0.352","0.185","-0.016"
"Color_Constancy","0.227","0.208","0.089","-0.148","0.041","-0.456","0.175","-0.115","0.01","-0.231","-0.196","-0.187","-0.031","-0.09","-0.067"
"Color_Assimilation","-0.468","-0.058","-0.254","0.234","-0.232","0.01","0.024","-0.026","0.076","0.316","0.098","0.076","-0.104","0.334","-0.06"
"Geometrical_Relativity","-0.228","0.129","0.13","-0.058","0.117","-0.286","0.319","-0.03","-0.044","-0.089","-0.188","0.052","-0.368","-0.236","-0.163"
"Geometrical_Perspective","0.253","0.217","0.042","-0.22","0.112","-0.081","0.178","-0.174","-0.03","0.141","-0.32","0.263","-0.216","-0.145","0.097"
"Color_Contrast","0.067","0.22","0.05","-0.024","0.595","-0.139","0.106","-0.116","0.067","-0.179","-0.101","-0.043","-0.158","-0.259","-0.126"
"Meme_Video_Understanding","-0.436","0.15","-0.016","0.098","0.064","0.071","0.262","0.295","0.092","0.036","0.156","0.056","-0.069","0.045","0.042"
"Meme_Image_Understanding","0.743","0.029","-0.095","-0.076","0.002","0.007","0.097","0.063","0.066","-0.141","-0.073","0.004","0.173","0.109","-0.028"
"Counting_by_Visual_Prompting","-0.669","0.096","0.057","0.069","0.119","0.107","-0.001","0.062","-0.008","0.157","0.083","0.082","-0.08","-0.176","-0.057"
"Counting_by_Category","0.782","0.123","0.139","0.101","0.054","0.087","0.162","-0.063","0.013","0.117","-0.148","-0.02","-0.232","0","0.063"
"Crowd_Counting","-0.293","0.024","0.02","0.065","0.109","0.066","0.28","0.165","-0.224","0.032","0.197","-0.004","-0.172","-0.484","-0.029"
"Counting_by_Reasoning","0.486","0.125","0.002","-0.068","0.2","0.253","0.447","0.027","-0.208","0.169","0.034","-0.059","0.137","-0.184","0.111"
"Order_Hallucination","-0.463","0.126","0.063","-0.135","0.099","-0.12","0.289","0.248","-0.037","0.13","0.221","0.039","-0.045","-0.127","-0.05"
"Relation_Hallucination","-0.126","0.117","0.144","0.042","-0.049","-0.024","0.048","0.087","-0.126","0.433","-0.298","0.337","-0.046","-0.193","0.23"
"Attribute_Hallucination","-0.288","0.292","0.071","0.146","0.107","0.088","0.346","0.055","0.15","0.045","-0.204","0.122","-0.052","-0.031","0.146"
"Exist_Hallucination","0.785","0.104","0.125","0.074","0.036","-0.15","-0.107","-0.096","0.03","-0.087","-0.003","0.047","0.061","-0.018","-0.091"
"Person_ReID","-0.272","0.054","0.083","0.737","0.09","-0.011","0.088","0.055","0.018","-0.037","0.076","-0.05","-0.008","-0.063","-0.004"
"Sketch_to_Image_Retrieval","0.249","0.005","0.188","0.741","0.013","0.098","-0.057","-0.04","0.06","-0.078","0.065","0.048","0.021","-0.013","-0.03"
"Face_Retrieval","0.071","0.011","-0.157","0.828","0.014","0.039","-0.05","-0.065","-0.048","-0.035","0.079","-0.003","0.047","0.133","0.049"
"Handwritten_Retrieval","-0.172","-0.017","0.44","0.171","0.069","-0.064","-0.008","0.07","0.137","0.167","-0.029","0.1","-0.264","-0.242","-0.225"
"Vehicle_Retrieval","0.107","-0.043","0.152","0.767","-0.006","0.006","0.067","-0.153","0.05","0.102","0.018","0.029","-0.014","-0.029","-0.103"
"Image_to_Image_Retrieval","-0.055","0.06","0.038","0.857","0.003","-0.081","0.03","-0.018","0.005","0.004","-0.048","0.084","-0.034","0","-0.027"
"Text_to_Image_Retrieval","-0.131","0.017","0.193","0.11","0.102","0.431","0.117","0.045","0.086","0.18","0.158","0.212","-0.058","0.12","0.092"
"Set.of.Marks_Recognition","-0.097","0.07","0.293","0.008","0.171","0.375","0.116","-0.024","0.005","0.071","0.109","0.254","0.121","-0.047","0.079"
"Visual_Prompt_Understanding","0.165","0.157","0.167","-0.029","0.263","-0.056","0.049","0.146","-0.021","-0.009","0.06","-0.113","0.577","-0.082","0.114"
"Industrial_Produce_Anomaly_Detection","-0.066","0.262","0.181","-0.049","0.175","-0.022","0.236","0.114","-0.069","0.199","-0.038","-0.246","-0.086","0.137","0.189"
"Face_Mask_Anomaly_Dectection","-0.408","0.053","0.053","0.044","0.379","0.262","0.151","-0.012","-0.169","0.105","0.016","0.166","0.016","-0.129","0.093"
"Helmet_Anomaly_Detection","0.742","-0.079","-0.111","0.069","0.067","-0.034","0.034","0.083","0.05","-0.17","-0.074","0.03","0.107","-0.049","0.037"
"Behavior_Anomaly_Detection","-0.291","0.049","0.117","-0.183","0.114","0.086","0.061","0.01","-0.165","0.579","0.035","0.031","-0.107","-0.043","-0.01"
"Traffic_Anomaly_Detection","-0.295","-0.043","0.545","-0.072","0.133","-0.199","0.129","-0.032","-0.03","-0.057","0.152","0.014","0.15","-0.22","-0.125"
"Furniture_Keypoint_Detection","0.092","-0.024","0.407","-0.058","-0.114","-0.335","-0.086","0.332","0.015","0.289","0.279","0.024","0.019","0.111","0.172"
"Human_Keypoint_Detection","0.066","-0.067","0.434","0.32","0.174","-0.132","0.122","0.147","-0.037","-0.047","0.175","0.112","0.108","0.117","0.181"
"Clothes_Keypoint_Detection","0.094","-0.016","0.178","0.165","0.074","-0.125","-0.112","0.244","0.269","0.071","0.045","0.184","0.11","0.499","0.053"
"Animal_Keypoint_Detection","0.042","-0.027","0.688","0.29","-0.124","-0.026","0.005","-0.006","0.058","0.041","0.105","0.104","-0.018","-0.116","-0.016"
"Vehicle_Keypoint_Detection","-0.663","0.027","0.12","0.088","-0.007","0.095","0.1","0.09","0.09","0.154","0.138","0.055","-0.064","0.169","0.072"
"Reasoning_Whoops","0.748","0.119","0.353","0.064","-0.062","-0.142","0.104","-0.031","0.081","-0.081","0.084","-0.243","0.073","-0.15","0.026"
"Equation_to_Latex","0.499","0.025","0.01","0.271","0.012","0.177","0.063","0.249","-0.028","-0.066","0.026","0.121","0.192","0.132","-0.061"
"Screenshot_to_Code","0.12","0.132","0.301","0.017","-0.103","0.106","-0.033","0.013","0.193","0.033","0.262","0.115","0.099","0.461","0.119"
"Sketch_to_Code","-0.48","0.027","0.418","-0.044","0.115","0.079","0.116","-0.049","0.133","0.125","0.242","-0.036","-0.019","0.145","-0.068"
"Image_Quality_Assessment","0.256","0.198","-0.002","0.087","0.179","0.076","-0.025","0.176","-0.678","-0.014","0.154","0.207","0.175","0.116","-0.113"
"Lvlm_Response_Judgement","0.136","-0.03","0.077","-0.062","-0.075","0.091","0.026","-0.119","0.044","-0.137","-0.053","0.116","0.685","0.027","0.114"
"Depth_Estimation","0.207","0.103","0.253","-0.037","0.065","-0.037","-0.019","0.181","-0.079","-0.708","-0.072","0.094","0.036","0.187","-0.062"
"Polygon_Localization","0.074","0.11","0.518","0.035","-0.188","0.208","0.064","0.102","-0.153","0.132","-0.043","-0.021","0.212","0.062","0.192"
"Interactive_Segmentation","-0.231","-0.025","-0.001","0.205","0.709","-0.046","-0.123","-0.044","-0.188","0.154","-0.022","0.038","0.217","0.112","-0.071"
"Pixel_Recognition","0.14","0.225","-0.078","0.089","-0.116","0.144","0.4","0.002","0.171","0.069","-0.35","0.236","-0.032","0.065","0.121"
"Pixel_Localization","-0.053","0.069","0.107","0.135","0.288","-0.53","-0.122","0.1","-0.051","-0.077","-0.07","-0.198","-0.018","0.269","0.261"
"Image_Matting","0.001","0.051","-0.044","-0.081","0.018","-0.124","0.02","-0.144","-0.216","-0.059","0.222","-0.177","-0.099","0.567","-0.285"
"Spot_the_Similarity","0.163","0.15","0.168","-0.002","0.338","0.037","-0.244","0.059","0.077","0.602","-0.252","-0.107","0.183","-0.096","-0.059"
"Spot_the_Difference","0.161","0.072","0.227","0.187","0.161","-0.483","0.157","-0.079","0.126","0.386","0.145","-0.192","0.059","0.091","-0.153"
"X3D_CAD_Recognition","0.053","0.012","-0.068","0.278","0.084","-0.096","0.047","0.164","0.428","0.048","0.022","0.144","0.042","0.006","-0.148"
"X3D_Indoor_Recognition","-0.081","0.145","-0.013","-0.149","0.322","-0.038","-0.008","-0.001","-0.042","-0.016","-0.328","0.111","-0.242","-0.03","0.191"
"Anatomy_Identification","-0.082","0.355","-0.058","0.386","-0.024","0.148","-0.074","0.073","0.21","0.025","0.097","-0.098","0.235","0.074","0.031"
"Medical_Modality_Recognition","0.014","0.204","-0.041","0.109","0.079","0.225","-0.045","0.175","0.46","-0.134","-0.06","-0.133","0.205","-0.078","-0.185"
"Other_Biological_Attributes","-0.068","0.104","-0.22","0.396","0.067","-0.131","0.245","-0.048","0.111","-0.032","-0.029","0.33","-0.109","-0.02","0.004"
"Disease_Diagnose","-0.048","0.175","0.073","-0.031","0.004","-0.077","-0.05","0.409","0.138","0.043","0.4","0.045","0.152","-0.362","0.075"
"Lesion_Grading","-0.018","0.143","0.054","0.225","0.019","0.25","0.116","0.144","0.089","0.138","0.153","-0.224","0.272","0.136","0.098"
"One.shot_Detection","-0.056","0.107","-0.029","-0.424","0","-0.062","0.14","0.752","0.033","-0.159","-0.051","-0.005","0.063","0.113","-0.141"
"Point_Tracking","0.038","-0.012","-0.101","-0.181","0.026","-0.017","-0.036","0.046","0.068","-0.035","-0.688","0.117","0.008","-0.011","0.002"
"Single_Object_Tracking","-0.012","0.034","0.12","-0.187","0.215","0.195","0.112","-0.006","0.1","-0.037","-0.243","0.185","-0.175","0.26","0.329"
"Video_Captioning","0.16","0.201","0.103","0.236","0.063","0.167","0.06","0.38","0.268","-0.16","-0.174","-0.097","-0.327","0.135","-0.086"
"Image_Captioning_Paragraph","-0.037","0.156","-0.022","0.086","0.066","-0.094","0.558","0.257","-0.152","-0.016","-0.106","0.227","0.145","-0.027","0.103"
"Image_Captioning","0.01","0.569","-0.062","-0.067","0.101","-0.029","0.306","0.107","0.03","-0.008","-0.124","0.149","0.002","-0.046","0.088"
"Instance_Captioning","0.094","0.232","-0.022","0.046","0.307","0.082","0.344","0.261","-0.091","0.079","-0.052","0.105","-0.002","-0.178","0.01"
"Image_Dense_Captioning","-0.003","0.065","0.544","0.104","0.075","0.049","-0.006","0.174","-0.097","0.103","0.032","0.004","0.195","0.237","0.061"
"Multiple_Instance_Captioning","0.133","0.244","-0.061","-0.033","0.247","-0.007","0.426","0.136","0.208","0.045","-0.18","0.123","0.063","0.034","-0.008"
"Multiple_Image_Captioning","0.042","-0.185","-0.073","0.056","0.16","0.009","0.398","0.442","0.146","0.243","0.106","0.15","-0.013","0.013","0.006"
"Writing_Poetry_from_Image","0.056","0.136","0.227","0.214","0.11","-0.084","0.073","0.526","0.011","-0.028","-0.002","0.099","-0.08","-0.121","0.162"
"Traffic_Participants_Understanding","0.044","0.188","0.056","0.191","0.125","0.074","0.426","0.157","-0.061","0.138","-0.368","-0.009","-0.085","-0.067","0.092"
"Multiple.view_Image_Understanding","0.091","-0.116","-0.334","0.411","0.273","-0.02","0.08","0.056","0.101","-0.106","0.403","-0.215","0.049","-0.017","-0.26"
"Traffic_Sign_Understanding","0.025","0.594","-0.006","0.036","0.031","0.124","0.244","0.103","0.101","0.082","-0.06","-0.005","-0.084","0.002","0.026"
"Temporal_Sequence_Understanding","0.167","0.025","-0.053","0.039","0.712","0.017","0.095","0.042","-0.078","0.044","-0.02","0.001","-0.15","0","0.064"
"Traffic_Light_Understanding","-0.424","0.093","0.025","0.1","0.28","0.255","0.025","0.197","0.096","0.158","-0.022","0.189","-0.093","0.003","-0.025"
